2026-05-19 20:10:22,588 | REDIS_SERVER | INFO | Loaded camera c4 into Redis
2026-05-19 20:16:43,618 | REDIS_SERVER | INFO | Loaded camera c1 into Redis
2026-05-19 20:16:43,620 | REDIS_SERVER | INFO | Loaded camera c2 into Redis
2026-05-19 20:16:43,620 | REDIS_SERVER | INFO | Loaded camera c3 into Redis
2026-05-19 20:16:43,623 | REDIS_SERVER | INFO | Loaded camera c4 into Redis
2026-05-19 20:49:58,278 | REDIS_SERVER | INFO | Loaded camera c1 into Redis
2026-05-19 20:49:58,279 | REDIS_SERVER | INFO | Loaded camera c2 into Redis
2026-05-19 20:49:58,281 | REDIS_SERVER | INFO | Loaded camera c3 into Redis
2026-05-19 20:49:58,286 | REDIS_SERVER | INFO | Loaded camera c4 into Redis
2026-05-19 21:12:45,503 | REDIS_SERVER | INFO | Loaded camera c1 into Redis
2026-05-19 21:12:45,506 | REDIS_SERVER | INFO | Loaded camera c2 into Redis
2026-05-19 21:12:45,508 | REDIS_SERVER | INFO | Loaded camera c3 into Redis
2026-05-19 21:12:45,510 | REDIS_SERVER | INFO | Loaded camera c4 into Redis
2026-05-19 22:03:47,620 | REDIS_SERVER | INFO | Loaded camera c1 into Redis
2026-05-19 22:03:47,622 | REDIS_SERVER | INFO | Loaded camera c2 into Redis
2026-05-19 22:03:47,622 | REDIS_SERVER | INFO | Loaded camera c3 into Redis
2026-05-19 22:03:47,626 | REDIS_SERVER | INFO | Loaded camera c4 into Redis
2026-05-19 22:34:16,950 | REDIS_SERVER | INFO | Loaded camera c1 into Redis
2026-05-19 22:34:16,950 | REDIS_SERVER | INFO | Loaded camera c2 into Redis
2026-05-19 22:34:16,950 | REDIS_SERVER | INFO | Loaded camera c3 into Redis
2026-05-19 22:34:16,954 | REDIS_SERVER | INFO | Loaded camera c4 into Redis
2026-05-20 22:22:12,666 | REDIS_SERVER | INFO | Loaded camera c1 into Redis
2026-05-20 22:22:12,670 | REDIS_SERVER | INFO | Loaded camera c2 into Redis
2026-05-20 22:22:12,673 | REDIS_SERVER | INFO | Loaded camera c3 into Redis
2026-05-20 22:22:12,675 | REDIS_SERVER | INFO | Loaded camera c4 into Redis
2026-05-20 22:56:24,494 | REDIS_SERVER | INFO | Loaded camera c1 into Redis
2026-05-20 22:56:24,496 | REDIS_SERVER | INFO | Loaded camera c2 into Redis
2026-05-20 22:56:24,497 | REDIS_SERVER | INFO | Loaded camera c3 into Redis
2026-05-20 22:56:24,499 | REDIS_SERVER | INFO | Loaded camera c4 into Redis
2026-05-22 11:26:40,973 | REDIS_SERVER | INFO | Loaded camera c1 into Redis
2026-05-22 11:26:40,984 | REDIS_SERVER | INFO | Loaded camera c2 into Redis
2026-05-22 11:26:40,985 | REDIS_SERVER | INFO | Loaded camera c3 into Redis
2026-05-22 11:26:40,989 | REDIS_SERVER | INFO | Loaded camera c4 into Redis
2026-05-22 12:35:25,823 | REDIS_SERVER | INFO | Loaded camera c1 into Redis
2026-05-22 12:35:25,823 | REDIS_SERVER | INFO | Loaded camera c2 into Redis
2026-05-22 12:35:25,823 | REDIS_SERVER | INFO | Loaded camera c3 into Redis
2026-05-22 12:35:25,837 | REDIS_SERVER | INFO | Loaded camera c4 into Redis
2026-06-01 13:19:18,195 | REDIS_SERVER | INFO | Loaded camera c1 into Redis
2026-06-01 13:19:18,195 | REDIS_SERVER | INFO | Loaded camera c2 into Redis
2026-06-01 13:19:18,195 | REDIS_SERVER | INFO | Loaded camera c3 into Redis
2026-06-01 13:19:18,202 | REDIS_SERVER | INFO | Loaded camera c4 into Redis
2026-06-01 13:39:25,548 | REDIS_SERVER | INFO | Loaded camera c1 into Redis
2026-06-01 13:39:25,551 | REDIS_SERVER | INFO | Loaded camera c2 into Redis
2026-06-01 13:39:25,551 | REDIS_SERVER | INFO | Loaded camera c3 into Redis
2026-06-01 13:39:25,554 | REDIS_SERVER | INFO | Loaded camera c4 into Redis
2026-06-01 17:53:42,771 | REDIS_SERVER | INFO | Loaded camera c1 into Redis
2026-06-01 17:53:42,774 | REDIS_SERVER | INFO | Loaded camera c2 into Redis
2026-06-01 17:53:42,776 | REDIS_SERVER | INFO | Loaded camera c3 into Redis
2026-06-01 17:53:42,778 | REDIS_SERVER | INFO | Loaded camera c4 into Redis
2026-06-01 18:12:41,831 | REDIS_SERVER | INFO | Loaded camera c1 into Redis
2026-06-01 18:12:41,833 | REDIS_SERVER | INFO | Loaded camera c2 into Redis
2026-06-01 18:12:41,835 | REDIS_SERVER | INFO | Loaded camera c3 into Redis
2026-06-01 18:12:41,838 | REDIS_SERVER | INFO | Loaded camera c4 into Redis
2026-06-01 18:20:17,843 | REDIS_SERVER | INFO | Loaded camera c1 into Redis
2026-06-01 18:20:17,843 | REDIS_SERVER | INFO | Loaded camera c2 into Redis
2026-06-01 18:20:17,861 | REDIS_SERVER | INFO | Loaded camera c3 into Redis
2026-06-01 18:20:17,861 | REDIS_SERVER | INFO | Loaded camera c4 into Redis
2026-06-01 18:48:39,101 | REDIS_SERVER | INFO | Loaded camera c1 into Redis
2026-06-01 18:48:39,101 | REDIS_SERVER | INFO | Loaded camera c2 into Redis
2026-06-01 18:48:39,106 | REDIS_SERVER | INFO | Loaded camera c3 into Redis
2026-06-01 18:48:39,107 | REDIS_SERVER | INFO | Loaded camera c4 into Redis
2026-06-01 21:05:57,852 | REDIS_SERVER | INFO | Loaded camera c1 into Redis
2026-06-01 21:05:57,857 | REDIS_SERVER | INFO | Loaded camera c2 into Redis
2026-06-01 21:05:57,860 | REDIS_SERVER | INFO | Loaded camera c3 into Redis
2026-06-01 21:05:57,861 | REDIS_SERVER | INFO | Loaded camera c4 into Redis
2026-06-01 21:54:52,450 | REDIS_SERVER | INFO | Loaded camera c1 into Redis
2026-06-01 21:54:52,450 | REDIS_SERVER | INFO | Loaded camera c2 into Redis
2026-06-01 21:54:52,450 | REDIS_SERVER | INFO | Loaded camera c3 into Redis
2026-06-01 21:54:52,450 | REDIS_SERVER | INFO | Loaded camera c4 into Redis
2026-06-01 22:01:37,360 | REDIS_SERVER | INFO | Loaded camera c1 into Redis
2026-06-01 22:01:37,365 | REDIS_SERVER | INFO | Loaded camera c2 into Redis
2026-06-01 22:01:37,365 | REDIS_SERVER | INFO | Loaded camera c3 into Redis
2026-06-01 22:01:37,365 | REDIS_SERVER | INFO | Loaded camera c4 into Redis
2026-06-02 10:24:36,883 | REDIS_SERVER | INFO | Loaded camera c1 into Redis
2026-06-02 10:24:36,884 | REDIS_SERVER | INFO | Loaded camera c2 into Redis
2026-06-02 10:24:36,884 | REDIS_SERVER | INFO | Loaded camera c3 into Redis
2026-06-02 10:24:36,884 | REDIS_SERVER | INFO | Loaded camera c4 into Redis
2026-06-02 11:00:24,663 | REDIS_SERVER | INFO | Loaded camera c1 into Redis
2026-06-02 11:00:24,663 | REDIS_SERVER | INFO | Loaded camera c2 into Redis
2026-06-02 11:00:24,663 | REDIS_SERVER | INFO | Loaded camera c3 into Redis
2026-06-02 11:00:24,663 | REDIS_SERVER | INFO | Loaded camera c4 into Redis
2026-06-02 11:40:02,131 | REDIS_SERVER | INFO | Loaded camera c1 into Redis
2026-06-02 11:40:02,131 | REDIS_SERVER | INFO | Loaded camera c2 into Redis
2026-06-02 11:40:02,131 | REDIS_SERVER | INFO | Loaded camera c3 into Redis
2026-06-02 11:40:02,143 | REDIS_SERVER | INFO | Loaded camera c4 into Redis
2026-06-02 12:13:24,775 | REDIS_SERVER | INFO | Loaded camera c1 into Redis
2026-06-02 12:13:24,778 | REDIS_SERVER | INFO | Loaded camera c2 into Redis
2026-06-02 12:13:24,779 | REDIS_SERVER | INFO | Loaded camera c3 into Redis
2026-06-02 12:13:24,780 | REDIS_SERVER | INFO | Loaded camera c4 into Redis
2026-06-02 12:50:53,523 | REDIS_SERVER | INFO | Loaded camera c1 into Redis
2026-06-02 12:50:53,523 | REDIS_SERVER | INFO | Loaded camera c2 into Redis
2026-06-02 12:50:53,523 | REDIS_SERVER | INFO | Loaded camera c3 into Redis
2026-06-02 12:50:53,523 | REDIS_SERVER | INFO | Loaded camera c4 into Redis
2026-06-02 14:20:35,196 | REDIS_SERVER | INFO | Loaded camera c1 into Redis
2026-06-02 14:20:35,196 | REDIS_SERVER | INFO | Loaded camera c2 into Redis
2026-06-02 14:20:35,196 | REDIS_SERVER | INFO | Loaded camera c3 into Redis
2026-06-02 14:20:35,196 | REDIS_SERVER | INFO | Loaded camera c4 into Redis
